key,text,description
ui.quest_panel.title,Quests & Actions,Player quest panel
ui.quest_panel.empty_quests,No active quests,Player quest panel
ui.quest_panel.empty_actions,No available actions,Player quest panel
ui.quest.active,Active,Player quest panel
ui.quest.completed,Completed,Player quest panel
ui.quest.goal_prefix,"Quest: ",Player quest panel
rule_preset.validation.no_object,Select a world object first.,Rule-block validation
rule_preset.validation.unavailable,Rule setup data is unavailable.,Rule-block validation
rule_preset.validation.requires,"This rule needs: {0}",Rule-block validation
rule_preset.attachment_setup.title,Configure attachment,Rule blocks
rule_preset.attachment_setup.body,"Choose where the object attaches. The needed concepts and triples will be prepared before the rule is applied.",Rule blocks
rule_preset.attachment_setup.apply,Configure and apply,Rule blocks
ui.button.add,Add,Physical behavior
ui.button.remove,Remove,Physical behavior
ui.button.details_short,Details,Physical behavior
ui.physical.base_behavior,Base physical behavior,Physical behavior
ui.physical.additional_effect,Additional effect,Physical behavior
result.no_additional_physical_effect,No more compatible effects can be added.,Physical behavior
physical_effect.WindDrift,Pushed by wind,Physical effect
physical_effect.WaveRocking,Rocked by waves,Physical effect
relation.has_physical_effect,additional physical effect,Physical effect relation
relation.active_physical_effect,active physical effect,Inferred physical effect relation
relation.compatible_with,compatible with,Compatibility relation
fact.has_physical_effect,{0} has the additional physical effect {1}.,Readable fact
fact.active_physical_effect,{0} is currently affected by {1}.,Readable inferred fact
fact.compatible_with,{0} is compatible with {1}.,Readable compatibility fact
concept.PhysicalEffect,Physical effect,Physical effect concept
rule.ActivateWindDriftEffect,Activate compatible wind effect,Physical effect rule
rule.ActivateWaveRockingEffect,Activate compatible wave effect,Physical effect rule
rule_description.ActivateWindDriftEffect,A compatible object with the wind effect is pushed by wind.,Physical effect rule
rule_description.ActivateWaveRockingEffect,A compatible object in water with the wave effect is rocked by waves.,Physical effect rule
ui.title.ontology_editor,Ontology Editor,World ontology editor title
ui.tab.triples,Triples,Fact editing tab
ui.tab.rule_blocks,Rule Blocks,Rule block tab
ui.tab.physics,Physics,Physical profile tab
ui.tab.results,Results,Readable inference results tab
ui.button.add_triple,+ Add Triple,Add a triple
ui.button.add_rule_block,+ Add Rule Block,Add a rule block
ui.button.save_world,Save World,Save snapshot
ui.button.load_world,Load World,Load snapshot
ui.subtitle.selected_object,Selected object,Selected object subtitle
ui.subtitle.no_selection,Select a placed object,No selection subtitle
ui.footer.triples,The subject is fixed. Edit the relation and value.,Triple editing help
ui.footer.rule_blocks,A rule block enables a database rule for this object.,Rule block help
ui.footer.physics,Choose the sentence that describes what this object should do.,Physics help
ui.footer.results,This shows current information and the rules that created it.,Results help
ui.status.saved,World saved successfully.,Save success
ui.status.loaded,World loaded successfully.,Load success
ui.status.save_failed,Save failed: the save controller was not found.,Save failure
ui.status.load_failed,Load failed: the save controller was not found.,Load failure
ui.dropdown.choose,Choose...,Dropdown placeholder
result.world_unavailable,The ontology world has not been initialized.,World unavailable
result.not_run,Rules have not been evaluated yet.,Inference has not run
result.stable,All rules have been applied.,Stable inference
result.iteration_limit,Rule evaluation stopped at the iteration limit.,Iteration limit
result.summary,"Iterations: {0} · New information: {1} · Changed information: {2}",Inference summary
result.current_information,Current information,Current fact heading
result.origin.authored,Authored,Authored fact origin
result.origin.inferred,Inferred,Inferred fact origin
result.origin.observed,Observed,Observed fact origin
result.applied_rule,Applied rule · step {0},Applied rule heading
result.added,Added,Added fact label
result.removed,Removed,Removed fact label
result.changed,Changed,Changed fact label
result.no_rule_block,No rule block is assigned. Add one to enable a database rule for this object.,No rule block
result.no_rules,No rules are available in the Rule Database.,No rules
result.no_buoyancy_profile,No buoyancy profile is registered.,No buoyancy profile
result.buoyancy_disabled,This object does not currently float.,No buoyancy
result.base_physical_profile,Base physical profile: {0}. Gravity is active.,Base profile
result.active_physical_profile,Active physical profile: {0}. This setting is saved as ontology data.,Active profile
validation.value_required,Enter a value.,Value missing
validation.number_required,Enter a valid number.,Invalid number
validation.boolean_required,Choose true or false.,Invalid boolean
validation.ambiguous_term,This word matches more than one ontology term. Choose one.,Ambiguous alias
validation.unknown_localized_term,This word is not registered. Add it to OntologyAliases.csv or create a new canonical term.,Unknown localized term
validation.invalid_identifier,Enter a valid ontology identifier.,Invalid identifier
validation.blocked,BLOCKED: {0},Blocked validation
validation.warning,WARNING: {0} Press OK again to confirm.,Warning confirmation
relation.has_concept,type,Concept classification
relation.located_in,location,Location relation
relation.has_element,element,Element relation
relation.has_state,status,State relation
relation.related_to,related object,Generic relationship
relation.water_depth,water depth,Water depth
relation.occupies,occupies,Occupancy
relation.state,state,State
relation.movement_mode,movement mode,Movement mode
relation.physical_profile,physical profile,Physical profile
relation.attachment_profile,attachment profile,Attachment profile
relation.pickup_behavior,interaction,Pickup behavior
relation.has_slot,equipment slot,Equipment slot
relation.supports_behavior,supported behavior,Supported behavior
relation.mobility_mode,mobility,mobility mode
relation.has_material,material,Material
relation.density_class,density,Density class
relation.supported_by,supported by,Support entity
relation.resting_on,resting on,Resting entity
relation.has_capability,capability,Capability
relation.grants_capability,grants capability,Granted capability
relation.grants_skill,grants skill,Granted skill
relation.skill_grant_requires_rule,skill grant requires rule,Rule blocks
relation.has_skill,skill,Skill
relation.has_temporary_skill,temporary skill,Temporary skill
relation.can_use_skill,usable skill,Usable skill
relation.equipped_by,equipped by,Equipment owner
relation.carried_by,carried by,Carry owner
relation.has_rule_block,rule block,Rule block fact
concept.Actor,Actor,Actor concept
concept.Agent,Agent,Agent concept
concept.Creature,Creature,Creature concept
concept.NPC,NPC,NPC concept
concept.PlayerControlled,Player-controlled,Player controlled concept
concept.Humanoid,Humanoid,Humanoid concept
concept.Plant,Plant,Plant concept
concept.Dry,Dry,Dry concept
concept.Fire,Fire,Fire concept
concept.Rock,Rock,Rock concept
concept.Resource,Resource,Resource concept
concept.Landmark,Landmark,Landmark concept
concept.TerrainTile,Terrain tile,Terrain tile concept
concept.WaterRegion,Water region,Water region concept
concept.QuestBoard,Quest board,Quest board concept
concept.Relation,Relationship,Relation concept
concept.Reputation,Reputation,Reputation concept
concept.CharacterPart,Character part,Character part concept
concept.TerrainZone,Terrain zone,Terrain zone concept
concept.QuestState,Quest state,Quest state concept
concept.FloatableObject,Floatable object,Floatable object concept
concept.Wearable,Wearable,Wearable concept
concept.Carryable,Carryable,Carryable concept
concept.Mountable,Mountable,Mountable concept
concept.FlotationDevice,Flotation device,Flotation device concept
state.Deep,Deep,Deep water state
state.Shallow,Shallow,Shallow water state
state.Unknown,Unknown,Water depth has not been observed
state.Swimming,Swimming,Swimming state
state.Wading,Wading,Wading state
state.Floating,Floating,Floating state
state.Dynamic,Dynamic,Dynamic state
state.Anchored,Anchored,Anchored state
state.Light,Light,Light density
state.Heavy,Heavy,Heavy density
value.Water,Water,Water element
value.Stone,Stone,Stone material
value.Polymer,Polymer,Polymer material
value.Vegetation,Vegetation,Vegetation material
value.Wood,Wood,Wood material
value.WaterFloat,Water Float,Water float skill
value.SelectThenEquip,Select then equip,Equip interaction
value.SelectThenCarry,Select then carry,Carry interaction
value.SelectThenMount,Select then mount,Mount interaction
object.stone_1,Stone 1,Placeable display name
object.stone_2,Stone 2,Placeable display name
object.stone_3,Stone 3,Placeable display name
object.grass_1,Grass 1,Placeable display name
object.grass_2,Grass 2,Placeable display name
object.landmark_cluster,Landmark Cluster,Placeable display name
object.inflatable_ring,Inflatable Ring,Placeable display name
fact.has_concept,{0} is classified as {1}.,Readable fact
fact.located_in,{0} is located in {1}.,Readable fact
fact.has_state,{0} is currently {1}.,Readable fact
fact.state,{0} is currently {1}.,Readable fact
fact.movement_mode,{0} moves by {1}.,Readable fact
fact.occupies,{0} is inside {1}.,Readable fact
fact.physical_profile,{0} uses the physical profile {1}.,Readable fact
fact.attachment_profile,{0} uses the attachment profile {1}.,Readable fact
fact.has_material,{0} is made of {1}.,Readable fact
fact.supported_by,{0} is supported by {1}.,Readable fact
fact.resting_on,{0} is resting on {1}.,Readable fact
fact.has_element,{0} contains the element {1}.,Readable fact
fact.related_to,{0} is related to {1}.,Readable fact
fact.water_depth,{0}'s water depth is {1}.,Readable fact
fact.pickup_behavior,{0}'s interaction is {1}.,Readable fact
fact.has_slot,{0} uses the equipment slot {1}.,Readable fact
